artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,country,continent,popularity
Muslim - مُسلِم,Etnaset,Etnaset,5hiQSNo6jQbQ2m2gBZs7bU,0.444,0.5,1,-7.706,0,0.0666,2.05e-06,0.108,0.271,147.757,195598,4,EGY,AFRICA,68.0
Afroto,FAR2 KHEBRA,FAR2 KHEBRA,53BjuhvFCmv5T0VRhKuNrb,0.798,0.867,10,-4.653,0,0.0532,1e-05,0.0643,0.784,107.97,188357,4,EGY,AFRICA,58.0
Karim Mahmoud Abdelaziz,Elghazala Ray2a (feat. Mohamed Osama),Elghazala Ray2a (feat. Mohamed Osama),4xAYDw7NVSKkvMIE9vFTVu,0.888,0.72,6,-5.409,1,0.0453,4.66e-06,0.0726,0.801,121.999,161764,4,EGY,AFRICA,65.0
Wegz,Keify Keda,Keify Keda,3yWSjxKQMpa7hXcmVElZgX,0.931,0.578,11,-11.087,0,0.254,0.000314,0.35,0.897,127.971,193622,4,EGY,AFRICA,60.0
Shahyn,SIRI,SIRI,1w8I30qzVlqUgkp0P9bXh1,0.865,0.699,6,-8.548,1,0.0882,0.0,0.107,0.488,124.039,213324,4,EGY,AFRICA,58.0
DK 33,انت زميلي - ماركة دولي,انت زميلي - ماركة دولي,79gXDIwQcUhER3uGr4tpMJ,0.84,0.547,11,-13.326,1,0.221,0.000128,0.233,0.349,100.782,180048,4,EGY,AFRICA,33.0
Bahaa Sultan,Cigara,Ta3ala Adalla3ak,3LXPZvEHf0vhgFKs4giHSS,0.763,0.863,10,-4.395,1,0.0451,0.0,0.0815,0.9,123.911,211452,4,EGY,AFRICA,55.0
Imagine Dragons,Enemy (with JID) [from the series Arcane League of Legends],Enemy (with JID) - from the series Arcane League of Legends,1r9xUipOqoNwggBpENDsvJ,0.728,0.783,11,-4.424,0,0.266,0.0,0.434,0.555,77.011,173381,4,EGY,AFRICA,98.0
Wegz,عفاريت الأسفلت,عفاريت الأسفلت,4uNc5GMR6a5az5U3Ghdyf8,0.857,0.548,10,-8.639,0,0.291,0.0,0.214,0.821,143.059,204818,4,EGY,AFRICA,57.0
Lege-Cy,عرفة,عرفة,7cCBsINflnE3PKyvcN3bzX,0.766,0.444,9,-10.84,0,0.226,0.141,0.438,0.499,115.972,161519,4,EGY,AFRICA,57.0
Afroto,Tege Goal,Tege Goal,5ptN0LBbIyZrxP9RLAwq5N,0.783,0.59,11,-10.527,1,0.222,0.0,0.0835,0.711,164.933,196364,4,EGY,AFRICA,51.0
Tamer Ashour,Tegy Ntrahn,Tegy Ntrahn,2NF0gMDLnJSaqIfj0SvrDi,0.624,0.622,6,-7.942,0,0.0901,0.0,0.0764,0.584,90.014,240673,4,EGY,AFRICA,46.0
Muslim - مُسلِم,Mesh Nadman,Mesh Nadman,3g4p8OgtpxHpEHzEjnRo6J,0.566,0.332,10,-11.366,1,0.0658,0.0,0.0806,0.322,88.957,175911,4,EGY,AFRICA,55.0
Lege-Cy,Agzakhana,Betadeen,5SSh0fKEEkyaBGOhQG47AE,0.773,0.521,6,-9.37,0,0.131,0.000313,0.0923,0.537,101.034,206714,4,EGY,AFRICA,52.0
Mohammed Saeed,Konty 2olely,Konty 2olely,49odA1EtwSkPefTEeIwqBx,0.671,0.248,5,-14.674,0,0.143,0.0875,0.115,0.396,140.033,168695,4,EGY,AFRICA,55.0
Lil Nas X,MONTERO,INDUSTRY BABY (feat. Jack Harlow),5Z9KJZvQzH6PFmb8SNkxuk,0.741,0.691,10,-7.395,0,0.0672,0.0,0.0476,0.892,150.087,212353,4,EGY,AFRICA,90.0
Glass Animals,Dreamland (+ Bonus Levels),Heat Waves,02MWAaffLxlfxAUY7c5dvx,0.761,0.525,11,-6.9,1,0.0944,6.7e-06,0.0921,0.531,80.87,238805,4,EGY,AFRICA,93.0
Marwan Moussa,Florida,Tesla,0htvkHTlXpui40I957NFUt,0.701,0.361,9,-11.158,0,0.15,0.0,0.0896,0.83,104.948,186500,4,EGY,AFRICA,55.0
Wegz,أسياد الصوت,أسياد الصوت,42nkGZLFa7PF2Hut7f7sxk,0.823,0.584,0,-8.176,0,0.0677,4.51e-06,0.16,0.284,134.997,188630,4,EGY,AFRICA,54.0
El Joker,RAKAM 1 DA MESH ENTA,RAKAM 1 DA MESH ENTA,79TzqzCK34xg5R3p1uTcAu,0.742,0.752,5,-6.208,0,0.0668,1.38e-05,0.0917,0.256,102.049,238720,4,EGY,AFRICA,53.0
Marwan Moussa,البوصلة ضاعت,البوصلة ضاعت,3OFejsaM3NDkclJg3rjWI2,0.753,0.504,7,-10.196,0,0.132,1.88e-05,0.121,0.299,107.064,209994,4,EGY,AFRICA,53.0
Lege-Cy,مفيش مانع,مفيش مانع,7KLy4f8VCsiIEYr69mC4uZ,0.591,0.47,1,-10.832,0,0.142,0.0344,0.105,0.418,100.005,220069,4,EGY,AFRICA,52.0
Ahmed Kamel,3la 3eny,3la 3eny,5Aun0pJOQFBQozav1hPpM1,0.448,0.336,9,-12.567,0,0.0355,0.0,0.133,0.209,142.306,316056,4,EGY,AFRICA,55.0
حمو الطيخا,طلقاتى راشقه,طلقاتى راشقه,4zMOcP4as07aQl2MY14Raf,0.879,0.944,6,-1.378,1,0.117,0.0,0.098,0.879,104.969,238341,4,EGY,AFRICA,49.0
Afroto,Msh Bel 7ozoz - مش بالحظوظ,Msh Bel 7ozoz - مش بالحظوظ,4K2VD5qMwcjIsLFYtrrQDz,0.765,0.52,0,-7.035,0,0.113,0.0,0.157,0.444,109.874,200736,4,EGY,AFRICA,54.0
Amr Diab,Inta El Haz,Inta El Haz,0647xnQGtzAulUlJC8s4r4,0.807,0.889,5,-3.437,0,0.0491,0.0,0.0487,0.84,101.179,170815,4,EGY,AFRICA,56.0
Wegz,واحد وعشرين,واحد وعشرين,7pBr36brGBNxCk3JahhyHb,0.645,0.685,7,-6.045,1,0.0765,1.05e-05,0.0739,0.091,90.082,231039,4,EGY,AFRICA,53.0
Marwan Pablo,Sindbad,Sindbad,5xDaIms5HB1DTj5keH6sJc,0.751,0.774,3,-7.633,0,0.142,4.98e-05,0.292,0.603,134.998,219000,4,EGY,AFRICA,53.0
Essam Saasa,وسط دموع وجراح,وسط دموع وجراح,3FdV0iO6fskyPeYnrMsKPM,0.805,0.78,11,-3.463,0,0.0764,0.0,0.526,0.813,109.984,264197,4,EGY,AFRICA,51.0
Mohamed Hamaki,Ya Fatenny,La Malama (Bonus Track),5ZsSIC9ea0OEi7gMMv7b1t,0.756,0.821,1,-5.514,0,0.0415,4.14e-06,0.0427,0.873,95.007,228853,4,EGY,AFRICA,59.0
Marwan Pablo,Free,Free,6vRHVF61iN8TnMdoFBoE8f,0.423,0.849,1,-3.782,1,0.143,0.0,0.111,0.312,116.956,218000,4,EGY,AFRICA,52.0
Marwan Moussa,HUSTLE,HUSTLE,3Ya32EkNaAQL8VDbvsfTup,0.868,0.87,8,-3.817,1,0.204,0.0,0.118,0.761,119.983,165006,4,EGY,AFRICA,53.0
Wegz,سكرتي,سكرتي,3pY3PPvp77FNQq01n4UrS1,0.768,0.506,2,-10.115,0,0.351,0.000302,0.115,0.354,140.077,210893,4,EGY,AFRICA,52.0
Ahmed Kamel,Talabat W Elnaghnagha - Law Talabet,Talabat W Elnaghnagha - Law Talabet,3VIe2CZBIFSW8EaBCvexHZ,0.889,0.747,0,-4.894,1,0.115,0.0444,0.263,0.898,132.011,161308,4,EGY,AFRICA,51.0
Ahmed Saad,El Melouk - الملوك,El Melouk - الملوك,04vHPXVGnb51q13NBoW22W,0.714,0.921,8,-1.455,1,0.0976,0.0,0.256,0.817,99.951,195048,4,EGY,AFRICA,53.0
Wegz,جزيرة البطل,كان نفسي,4AvJP6kNoa6Cua3cqlZmCm,0.733,0.295,1,-14.583,1,0.146,0.000297,0.0821,0.499,144.057,253342,4,EGY,AFRICA,51.0
The Kid LAROI,F*CK LOVE 3: OVER YOU,STAY (with Justin Bieber),5PjdY0CKGZdEuoNab3yDmX,0.591,0.764,1,-5.484,1,0.0483,0.0,0.103,0.478,169.928,141806,4,EGY,AFRICA,92.0
Hoda Bondok,خطر (ياللي سيرتي تعباك),خطر (ياللي سيرتي تعباك),1C6pNXiVfcKO49JttTv0xJ,0.661,0.907,9,-3.29,1,0.27,5.36e-05,0.327,0.575,183.98,240048,4,EGY,AFRICA,53.0
Marwan Pablo,CTRL,Ghaba,4Zpg4neFtdTJJF4wsrTJRa,0.744,0.473,5,-14.143,0,0.0533,0.00136,0.0872,0.375,128.045,184932,4,EGY,AFRICA,52.0
Double Zuksh,El 3aw - العو,El 3aw - العو,3yCO77szbEBiah3kTM70QM,0.713,0.902,0,-2.16,1,0.162,4.86e-06,0.337,0.616,97.944,208172,4,EGY,AFRICA,51.0
Lege-Cy,تاني,تاني,5MYvIwOpXVzWToptTJbZR4,0.619,0.605,3,-7.437,0,0.213,0.000268,0.111,0.824,83.523,166228,4,EGY,AFRICA,51.0
Abyusif,Mamlaka,Mamlaka,56e1uYjeT4Ju4F44ZKM9ra,0.751,0.51,11,-10.229,1,0.265,0.0,0.0976,0.829,77.044,209490,4,EGY,AFRICA,51.0
Abo El Anwar,Awadeeh,Awadeeh,6X3T09NqZfGACrko9EYN7r,0.592,0.806,7,-2.358,1,0.322,1.37e-05,0.18,0.471,188.891,143000,4,EGY,AFRICA,51.0
Mousv,MAQSOUM,El QOWA,0rzAtcL37WVll20dFCYTsj,0.423,0.564,2,-10.571,0,0.0805,0.000975,0.0807,0.134,130.055,257833,4,EGY,AFRICA,50.0
Molotof,Denamet,Denamet,3NCZRSMdqwo5jpRdgcZxEV,0.661,0.575,5,-9.365,1,0.314,3.91e-06,0.0861,0.432,140.092,208065,4,EGY,AFRICA,51.0
Marwan Moussa,شيراتون,شيراتون,3S2aU4rUZXbVOxyVzgzXQ5,0.888,0.438,6,-8.735,0,0.0528,0.00111,0.108,0.234,104.971,214000,4,EGY,AFRICA,52.0
Marwan Pablo,CTRL,CTRL,2lj1RNDztkIsyzhAX2soEa,0.795,0.49,4,-14.784,0,0.209,0.00164,0.102,0.364,136.036,185299,4,EGY,AFRICA,52.0
Lege-Cy,إتنين بليل,إتنين بليل,4TMAPif5tmTMoqGHtwDsFt,0.661,0.407,11,-12.437,0,0.159,2.17e-05,0.236,0.231,97.924,201441,4,EGY,AFRICA,49.0
Moscow,كابتن,كابتن,6dR03uJtlIIIfQsf6EuesI,0.734,0.642,8,-9.592,0,0.295,0.000279,0.33,0.554,142.977,178322,4,EGY,AFRICA,45.0
Jaymes Young,Feel Something,Infinity,1SOClUWhOi8vHZYMz3GluK,0.671,0.673,11,-6.941,0,0.0444,5.29e-05,0.304,0.494,121.963,237720,4,EGY,AFRICA,95.0
Bizarrap,"Tiago PZK: Bzrp Music Sessions, Vol. 48","Tiago PZK: Bzrp Music Sessions, Vol. 48",2Gq636OOGgxCTqEuzCZhsa,0.656,0.823,1,-3.059,0,0.315,0.0,0.103,0.755,96.474,160000,4,ARG,SOUTH-AM,89.0
Tiago PZK,Entre Nosotros (Remix) [con Nicki Nicole],Entre Nosotros (Remix) [con Nicki Nicole],4TGwERXRlyQtBdggYTHo6j,0.7,0.438,5,-5.784,0,0.0433,0.0,0.373,0.605,170.106,260000,3,ARG,SOUTH-AM,88.0
Duki,Temporada de Reggaetón,TOP 5,7JZ5mOTea5T4LH0UdwCsWx,0.853,0.824,2,-3.384,1,0.214,2.68e-05,0.11,0.693,100.05,146815,4,ARG,SOUTH-AM,83.0
TINI,Bar,Bar,0lJE8f0lx8mUSfMyxeYpiC,0.523,0.691,1,-3.802,1,0.0833,0.0,0.327,0.677,94.148,160213,4,ARG,SOUTH-AM,87.0
Salastkbron,TITAN,TITAN,2cR9cH9ta7MStHBKs0aOcz,0.725,0.49,5,-9.487,0,0.187,0.0,0.0978,0.96,180.042,122137,4,ARG,SOUTH-AM,68.0
