artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,country,continent,popularity
Afroto,FAR2 KHEBRA,FAR2 KHEBRA,53BjuhvFCmv5T0VRhKuNrb,0.798,0.867,10,-4.653,0,0.0532,1e-05,0.0643,0.784,107.97,188357,4,EGY,AFRICA,58.0
Wegz,Keify Keda,Keify Keda,3yWSjxKQMpa7hXcmVElZgX,0.931,0.578,11,-11.087,0,0.254,0.000314,0.35,0.897,127.971,193622,4,EGY,AFRICA,60.0
Shahyn,SIRI,SIRI,1w8I30qzVlqUgkp0P9bXh1,0.865,0.699,6,-8.548,1,0.0882,0.0,0.107,0.488,124.039,213324,4,EGY,AFRICA,58.0
Wegz,عفاريت الأسفلت,عفاريت الأسفلت,4uNc5GMR6a5az5U3Ghdyf8,0.857,0.548,10,-8.639,0,0.291,0.0,0.214,0.821,143.059,204818,4,EGY,AFRICA,57.0
Bahaa Sultan,Cigara,Ta3ala Adalla3ak,3LXPZvEHf0vhgFKs4giHSS,0.763,0.863,10,-4.395,1,0.0451,0.0,0.0815,0.9,123.911,211452,4,EGY,AFRICA,54.0
Lege-Cy,عرفة,عرفة,7cCBsINflnE3PKyvcN3bzX,0.766,0.444,9,-10.84,0,0.226,0.141,0.438,0.499,115.972,161519,4,EGY,AFRICA,57.0
Afroto,Tege Goal,Tege Goal,5ptN0LBbIyZrxP9RLAwq5N,0.783,0.59,11,-10.527,1,0.222,0.0,0.0835,0.711,164.933,196364,4,EGY,AFRICA,51.0
Lege-Cy,Agzakhana,Betadeen,5SSh0fKEEkyaBGOhQG47AE,0.773,0.521,6,-9.37,0,0.131,0.000313,0.0923,0.537,101.034,206714,4,EGY,AFRICA,52.0
Muslim - مُسلِم,Mesh Nadman,Mesh Nadman,3g4p8OgtpxHpEHzEjnRo6J,0.566,0.332,10,-11.366,1,0.0658,0.0,0.0806,0.322,88.957,175911,4,EGY,AFRICA,55.0
Tamer Ashour,Tegy Ntrahn,Tegy Ntrahn,2NF0gMDLnJSaqIfj0SvrDi,0.624,0.622,6,-7.942,0,0.0901,0.0,0.0764,0.584,90.014,240673,4,EGY,AFRICA,44.0
Mohammed Saeed,Konty 2olely,Konty 2olely,49odA1EtwSkPefTEeIwqBx,0.671,0.248,5,-14.674,0,0.143,0.0875,0.115,0.396,140.033,168695,4,EGY,AFRICA,55.0
DK 33,انت زميلي - ماركة دولي,انت زميلي - ماركة دولي,79gXDIwQcUhER3uGr4tpMJ,0.84,0.547,11,-13.326,1,0.221,0.000128,0.233,0.349,100.782,180048,4,EGY,AFRICA,27.0
Marwan Moussa,Florida,Tesla,0htvkHTlXpui40I957NFUt,0.701,0.361,9,-11.158,0,0.15,0.0,0.0896,0.83,104.948,186500,4,EGY,AFRICA,55.0
Lege-Cy,مفيش مانع,مفيش مانع,7KLy4f8VCsiIEYr69mC4uZ,0.591,0.47,1,-10.832,0,0.142,0.0344,0.105,0.418,100.005,220069,4,EGY,AFRICA,52.0
Marwan Moussa,البوصلة ضاعت,البوصلة ضاعت,3OFejsaM3NDkclJg3rjWI2,0.753,0.504,7,-10.196,0,0.132,1.88e-05,0.121,0.299,107.064,209994,4,EGY,AFRICA,53.0
Wegz,أسياد الصوت,أسياد الصوت,42nkGZLFa7PF2Hut7f7sxk,0.823,0.584,0,-8.176,0,0.0677,4.51e-06,0.16,0.284,134.997,188630,4,EGY,AFRICA,54.0
Amr Diab,Inta El Haz,Inta El Haz,0647xnQGtzAulUlJC8s4r4,0.807,0.889,5,-3.437,0,0.0491,0.0,0.0487,0.84,101.179,170815,4,EGY,AFRICA,56.0
Ahmed Kamel,3la 3eny,3la 3eny,5Aun0pJOQFBQozav1hPpM1,0.448,0.336,9,-12.567,0,0.0355,0.0,0.133,0.209,142.306,316056,4,EGY,AFRICA,55.0
حمو الطيخا,طلقاتى راشقه,طلقاتى راشقه,4zMOcP4as07aQl2MY14Raf,0.879,0.944,6,-1.378,1,0.117,0.0,0.098,0.879,104.969,238341,4,EGY,AFRICA,49.0
