id,name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date,popularity
79iqsHovvhpiecABN1zA7D,Conducted Improvisation Piece No. 4 -,Two Forms of Multitudes: Conducted Improvisations,2HmzJPE9rryB8DN2gaRX2s,"['Moe! Staiano', ""Moe! Staiano's MOE!KESTRA!""]","['1SyQHq85cCZLxESy3TgnqS', '4ju5SMovVJsDhyTrXIQhUf']",10,1,False,0.184,0.347,9,-12.914,0,0.065,0.532,0.3779999999999999,0.1989999999999999,0.1639999999999999,91.733,552267,4.0,2003,2003-01-01,0
1yoOKw95Ut0jhfmuIRlxT0,"Trio Sonata in G Minor, Op. 1 No. 1, RV 73: II. Allemanda",Baroque Favorites,3rkByQI9pvrAOh3hGtkjC7,"['Antonio Vivaldi', 'Jaap Schröder', 'Stanley Ritchie', 'Helicon', 'Albert Fuller']","['2QOIawHpSlOwXDvSqQ9YJR', '3zg3yScrOKx6SSFcvJPNav', '0mAtyok1rkFRLkdYjMwGeb', '507rR7806mu7DONETowPmo', '6tLITGhns7WtHezO0kawCI']",5,2,False,0.486,0.188,6,-23.487,0,0.0493,0.7490000000000001,4.2e-06,0.126,0.3229999999999999,102.979,145400,4.0,2012,2012-03-01,1
5OE20eTu6AOXVisEc4E8ZK,The Vanishing Pavilions Suite: XIII. —,Hersch Plays Hersch: Suite from the Vanishing Pavilions (Live),5BdpYlcjX4jzx3w2Qkn55g,['Michael Hersch'],['2U5btKrsOM3UMyVrm7MNMs'],13,1,False,0.521,0.000998,7,-30.029,0,0.0962,0.8190000000000001,0.962,0.102,0.0,130.55100000000002,54133,4.0,2013,2013-05-28,0
0mrgV7HrNvv005ujwijHhb,Doves,Doves - Single,43Sk8rtwLgu9HXFo1Kbjk7,['The Black Angels'],['0VNWuGf8SMVU2AerpdhMbP'],1,1,False,0.375,0.8170000000000001,2,-7.108,1,0.0452,0.000392,0.513,0.113,0.3389999999999999,138.762,269787,4.0,2008,2008-12-22,6
3TRTcwJoe7ZriHNCGfAsxP,In My Lonely Life,The Best (English Edition),394IKbp33Xd84OGY7d4SVc,['Sergey Lazarev'],['69GGH3fqk8waBkpDJ5C2mK'],2,1,False,0.62,0.974,8,-2.301,0,0.0536,0.0017,0.0073799999999999,0.0779,0.852,122.069,225231,4.0,2015,2015-10-23,25
3503ibwlyy9bV6mVJ2kjck,Playa,Niggas Get Shot Everyday,3hZ9rRxfEHph7Tk6B7QikU,['Young Dolph'],['3HiuzBlSW7pGDXlSFMhO2g'],5,1,False,0.83,0.6509999999999999,8,-4.875,0,0.0967,0.102,0.0,0.0999,0.371,141.989,164224,4.0,2018,2018-02-16,6
1re98b0FfIAZK5zJn6GiM9,Man Made,Mixre Presents : The Man Made Complication,7IahFUWsxPvWQtBw50oFqN,"['Jay Bizzy, White Mic & Mixre']",['3CqoEmbEQuot2vNkdbx54R'],7,1,False,0.865,0.508,11,-8.538,0,0.461,0.3289999999999999,0.0,0.395,0.928,88.93700000000004,205027,4.0,2008,2008-01-01,0
7n5R3ZEZra5FJDgy3W8rj2,Someday Came Today,Turtle Wings,1ehW9rzrfAtWoZr6H4ez14,['Valerie Smith'],['4hLfpKmfEqJU0V2ez8mXN1'],10,1,False,0.679,0.267,0,-9.574,1,0.0286,0.74,0.0,0.0865,0.295,124.828,183933,3.0,2000,2000,0
1CtDcFsl8urO034qh17g88,The Weasel - Live on Bob and Tom,Treated and Released,3K9MIANd4iRz6bdVVekL1b,['Heywood Banks'],['4h6EtEdhJDdIzJVnah7lhh'],13,1,False,0.733,0.8270000000000001,9,-9.05,1,0.1889999999999999,0.506,0.0,0.82,0.569,120.148,256507,4.0,1992,1992-03-02,2
7r4O1HDk1zr4wZYmAXHnW4,Something for Nothing,A Tiger Dancing,3Jnm8wG6GVvmvxnWLQPLfz,['Heiruspecs'],['62722LybI6liv967te6t3s'],1,1,False,0.785,0.4539999999999999,11,-8.06,1,0.387,0.0314,0.00108,0.083,0.723,96.775,237333,4.0,2004,2004-09-28,7
